,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime
0,2016,3,3,8,62.9,1.0,0,2016-03-03 15:00:00
1,2016,3,3,9,62.9,1.0,0,2016-03-03 16:00:00
2,2016,3,3,10,55.5,1.0,0,2016-03-03 17:00:00
3,2016,3,3,11,55.5,1.0,0,2016-03-03 18:00:00
4,2016,3,3,12,47.9,1.0,0,2016-03-03 19:00:00
5,2016,3,3,13,43.6,1.0,0,2016-03-03 20:00:00
6,2016,3,3,14,28.6,1.0,0,2016-03-03 21:00:00
7,2016,3,3,15,33.6,1.0,0,2016-03-03 22:00:00
8,2016,3,3,16,34.8,1.0,0,2016-03-03 23:00:00
9,2016,3,3,17,31.3,1.0,0,2016-03-04 00:00:00
10,2016,3,3,19,42.1,1.0,0,2016-03-04 02:00:00
11,2016,3,3,20,38.6,1.0,0,2016-03-04 03:00:00
12,2016,3,3,21,45.5,1.0,0,2016-03-04 04:00:00
13,2016,3,3,22,49.9,1.0,0,2016-03-04 05:00:00
14,2016,3,3,23,44.1,1.0,0,2016-03-04 06:00:00
15,2016,3,4,0,42.1,1.0,0,2016-03-04 07:00:00
16,2016,3,4,1,43.1,1.0,0,2016-03-04 08:00:00
17,2016,3,4,2,44.8,1.0,0,2016-03-04 09:00:00
18,2016,3,4,3,37.5,1.0,0,2016-03-04 10:00:00
19,2016,3,4,4,39.6,1.0,0,2016-03-04 11:00:00
20,2016,3,4,5,46.0,1.0,0,2016-03-04 12:00:00
21,2016,3,4,6,43.8,1.0,0,2016-03-04 13:00:00
22,2016,3,4,7,36.6,1.0,0,2016-03-04 14:00:00
23,2016,3,4,8,34.2,1.0,0,2016-03-04 15:00:00
24,2016,3,4,9,35.0,1.0,0,2016-03-04 16:00:00
25,2016,3,4,10,30.0,1.0,0,2016-03-04 17:00:00
26,2016,3,4,11,25.6,1.0,0,2016-03-04 18:00:00
27,2016,3,4,12,32.1,1.0,0,2016-03-04 19:00:00
28,2016,3,4,13,24.4,1.0,0,2016-03-04 20:00:00
29,2016,3,4,14,32.8,1.0,0,2016-03-04 21:00:00
30,2016,3,4,15,32.9,1.0,0,2016-03-04 22:00:00
31,2016,3,4,16,30.7,1.0,0,2016-03-04 23:00:00
32,2016,3,4,17,29.2,1.0,0,2016-03-05 00:00:00
33,2016,3,4,18,28.1,1.0,0,2016-03-05 01:00:00
34,2016,3,4,19,33.3,1.0,0,2016-03-05 02:00:00
35,2016,3,4,20,33.3,1.0,0,2016-03-05 03:00:00
36,2016,3,4,21,33.3,1.0,0,2016-03-05 04:00:00
37,2016,3,4,22,33.3,1.0,0,2016-03-05 05:00:00
38,2016,3,4,23,33.3,1.0,0,2016-03-05 06:00:00
39,2016,3,5,0,33.3,1.0,0,2016-03-05 07:00:00
40,2016,3,5,1,33.3,1.0,0,2016-03-05 08:00:00
41,2016,3,5,2,33.3,1.0,0,2016-03-05 09:00:00
42,2016,3,5,3,33.3,1.0,0,2016-03-05 10:00:00
43,2016,3,5,4,33.3,1.0,0,2016-03-05 11:00:00
44,2016,3,5,5,33.3,1.0,0,2016-03-05 12:00:00
45,2016,3,5,6,33.3,1.0,0,2016-03-05 13:00:00
46,2016,3,5,7,33.3,1.0,0,2016-03-05 14:00:00
47,2016,3,5,8,33.3,1.0,0,2016-03-05 15:00:00
48,2016,3,5,9,33.3,1.0,0,2016-03-05 16:00:00
49,2016,3,5,10,33.3,1.0,0,2016-03-05 17:00:00
50,2016,3,5,11,33.3,1.0,0,2016-03-05 18:00:00
51,2016,3,5,12,33.3,1.0,0,2016-03-05 19:00:00
52,2016,3,5,13,33.3,1.0,0,2016-03-05 20:00:00
53,2016,3,5,14,33.3,1.0,0,2016-03-05 21:00:00
54,2016,3,5,15,33.3,1.0,0,2016-03-05 22:00:00
55,2016,3,5,16,33.3,1.0,0,2016-03-05 23:00:00
56,2016,3,5,17,33.8,1.0,0,2016-03-06 00:00:00
57,2016,3,5,18,20.0,1.0,0,2016-03-06 01:00:00
58,2016,3,5,19,24.3,1.0,0,2016-03-06 02:00:00
59,2016,3,5,20,26.3,1.0,0,2016-03-06 03:00:00
60,2016,3,5,21,25.9,1.0,0,2016-03-06 04:00:00
61,2016,3,5,22,25.5,1.0,0,2016-03-06 05:00:00
62,2016,3,5,23,28.9,1.0,0,2016-03-06 06:00:00
63,2016,3,6,0,24.0,1.0,0,2016-03-06 07:00:00
64,2016,3,6,1,24.1,1.0,0,2016-03-06 08:00:00
65,2016,3,6,2,25.2,1.0,0,2016-03-06 09:00:00
66,2016,3,6,3,23.8,1.0,0,2016-03-06 10:00:00
67,2016,3,6,4,27.1,1.0,0,2016-03-06 11:00:00
68,2016,3,6,5,41.9,1.0,0,2016-03-06 12:00:00
69,2016,3,6,6,41.0,1.0,0,2016-03-06 13:00:00
70,2016,3,6,7,39.5,1.0,0,2016-03-06 14:00:00
71,2016,3,6,8,35.3,1.0,0,2016-03-06 15:00:00
72,2016,3,6,9,34.1,1.0,0,2016-03-06 16:00:00
73,2016,3,6,10,30.9,1.0,0,2016-03-06 17:00:00
74,2016,3,6,11,27.6,1.0,0,2016-03-06 18:00:00
75,2016,3,6,12,26.7,1.0,0,2016-03-06 19:00:00
76,2016,3,6,13,28.2,1.0,0,2016-03-06 20:00:00
77,2016,3,6,14,27.0,1.0,0,2016-03-06 21:00:00
78,2016,3,6,15,27.5,1.0,0,2016-03-06 22:00:00
79,2016,3,6,16,27.2,1.0,0,2016-03-06 23:00:00
80,2016,3,6,17,26.8,1.0,0,2016-03-07 00:00:00
81,2016,3,6,18,30.1,1.0,0,2016-03-07 01:00:00
82,2016,3,6,19,28.3,1.0,0,2016-03-07 02:00:00
83,2016,3,6,20,26.0,1.0,0,2016-03-07 03:00:00
84,2016,3,6,21,32.4,1.0,0,2016-03-07 04:00:00
85,2016,3,6,22,32.8,1.0,0,2016-03-07 05:00:00
86,2016,3,6,23,24.8,1.0,0,2016-03-07 06:00:00
87,2016,3,7,0,31.3,1.0,0,2016-03-07 07:00:00
88,2016,3,7,1,30.0,1.0,0,2016-03-07 08:00:00
89,2016,3,7,2,26.8,1.0,0,2016-03-07 09:00:00
90,2016,3,7,3,24.9,1.0,0,2016-03-07 10:00:00
