,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,62.9,1.0,0,2016-03-03 15:00:00,70,12,13.754000000000001,100.5014,34.1,13.754000000000001,100.5014
1,1,2016,3,3,9,62.9,1.0,0,2016-03-03 16:00:00,60,12,13.754000000000001,100.5014,34.6,13.754,100.5014
2,2,2016,3,3,10,55.5,1.0,0,2016-03-03 17:00:00,60,12,13.754000000000001,100.5014,34.6,13.754000000000001,100.5014
3,3,2016,3,3,11,55.5,1.0,0,2016-03-03 18:00:00,60,12,13.754000000000001,100.5014,34.6,13.754000000000001,100.5014
4,4,2016,3,3,12,47.9,1.0,0,2016-03-03 19:00:00,70,11,13.754000000000001,100.5014,29.1,13.754,100.5014
5,5,2016,3,3,13,43.6,1.0,0,2016-03-03 20:00:00,70,11,13.754000000000001,100.5014,29.1,13.754000000000001,100.5014
6,6,2016,3,3,14,28.6,1.0,0,2016-03-03 21:00:00,70,11,13.754000000000001,100.5014,29.1,13.754000000000001,100.5014
7,7,2016,3,3,15,33.6,1.0,0,2016-03-03 22:00:00,70,15,13.754000000000001,100.5014,27.3,13.754,100.5014
8,8,2016,3,3,16,34.8,1.0,0,2016-03-03 23:00:00,70,15,13.754000000000001,100.5014,27.3,13.754000000000001,100.5014
9,9,2016,3,3,17,31.3,1.0,0,2016-03-04 00:00:00,70,15,13.754000000000001,100.5014,27.3,13.754000000000001,100.5014
10,10,2016,3,3,19,42.1,1.0,0,2016-03-04 02:00:00,95,13,13.754000000000001,100.5014,26.5,13.754000000000001,100.5014
11,11,2016,3,3,20,38.6,1.0,0,2016-03-04 03:00:00,95,13,13.754000000000001,100.5014,26.5,13.754000000000001,100.5014
12,12,2016,3,3,21,45.5,1.0,0,2016-03-04 04:00:00,115,11,13.754000000000001,100.5014,25.8,13.754,100.5014
13,13,2016,3,3,22,49.9,1.0,0,2016-03-04 05:00:00,115,11,13.754000000000001,100.5014,25.8,13.754000000000001,100.5014
14,14,2016,3,3,23,44.1,1.0,0,2016-03-04 06:00:00,115,11,13.754000000000001,100.5014,25.8,13.754000000000001,100.5014
15,15,2016,3,4,0,42.1,1.0,0,2016-03-04 07:00:00,95,12,13.754000000000001,100.5014,26.1,13.754,100.5014
16,16,2016,3,4,1,43.1,1.0,0,2016-03-04 08:00:00,95,12,13.754000000000001,100.5014,26.1,13.754000000000001,100.5014
17,17,2016,3,4,2,44.8,1.0,0,2016-03-04 09:00:00,95,12,13.754000000000001,100.5014,26.1,13.754000000000001,100.5014
18,18,2016,3,4,3,37.5,1.0,0,2016-03-04 10:00:00,105,13,13.754000000000001,100.5014,30.7,13.754,100.5014
19,19,2016,3,4,4,39.6,1.0,0,2016-03-04 11:00:00,105,13,13.754000000000001,100.5014,30.7,13.754000000000001,100.5014
20,20,2016,3,4,5,46.0,1.0,0,2016-03-04 12:00:00,105,13,13.754000000000001,100.5014,30.7,13.754000000000001,100.5014
21,21,2016,3,4,6,43.8,1.0,0,2016-03-04 13:00:00,115,10,13.754000000000001,100.5014,32.9,13.754,100.5014
22,22,2016,3,4,7,36.6,1.0,0,2016-03-04 14:00:00,115,10,13.754000000000001,100.5014,32.9,13.754000000000001,100.5014
23,23,2016,3,4,8,34.2,1.0,0,2016-03-04 15:00:00,115,10,13.754000000000001,100.5014,32.9,13.754000000000001,100.5014
24,24,2016,3,4,9,35.0,1.0,0,2016-03-04 16:00:00,90,7,13.754000000000001,100.5014,33.2,13.754,100.5014
25,25,2016,3,4,10,30.0,1.0,0,2016-03-04 17:00:00,90,7,13.754000000000001,100.5014,33.2,13.754000000000001,100.5014
26,26,2016,3,4,11,25.6,1.0,0,2016-03-04 18:00:00,90,7,13.754000000000001,100.5014,33.2,13.754000000000001,100.5014
27,27,2016,3,4,12,32.1,1.0,0,2016-03-04 19:00:00,75,13,13.754000000000001,100.5014,28.3,13.754,100.5014
28,28,2016,3,4,13,24.4,1.0,0,2016-03-04 20:00:00,75,13,13.754000000000001,100.5014,28.3,13.754000000000001,100.5014
29,29,2016,3,4,14,32.8,1.0,0,2016-03-04 21:00:00,75,13,13.754000000000001,100.5014,28.3,13.754000000000001,100.5014
30,30,2016,3,4,15,32.9,1.0,0,2016-03-04 22:00:00,90,14,13.754000000000001,100.5014,27.6,13.754,100.5014
31,31,2016,3,4,16,30.7,1.0,0,2016-03-04 23:00:00,90,14,13.754000000000001,100.5014,27.6,13.754000000000001,100.5014
32,32,2016,3,4,17,29.2,1.0,0,2016-03-05 00:00:00,90,14,13.754000000000001,100.5014,27.6,13.754000000000001,100.5014
