,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,44.2,1.0,0,2016-03-03 15:00:00,65,11,12.6096,102.1045,33.4,12.6096,102.1045
1,1,2016,3,3,9,44.2,1.0,0,2016-03-03 16:00:00,55,10,12.6096,102.1045,31.7,12.6096,102.1045
2,2,2016,3,3,10,44.3,1.0,0,2016-03-03 17:00:00,55,10,12.6096,102.1045,31.7,12.6096,102.1045
3,3,2016,3,3,11,44.2,1.0,0,2016-03-03 18:00:00,55,10,12.6096,102.1045,31.7,12.6096,102.1045
4,4,2016,3,3,12,34.2,1.0,0,2016-03-03 19:00:00,65,17,12.6096,102.1045,27.2,12.6096,102.1045
5,5,2016,3,3,13,34.6,1.0,0,2016-03-03 20:00:00,65,17,12.6096,102.1045,27.2,12.6096,102.1045
6,6,2016,3,3,14,31.0,1.0,0,2016-03-03 21:00:00,65,17,12.6096,102.1045,27.2,12.6096,102.1045
7,7,2016,3,3,15,31.6,1.0,0,2016-03-03 22:00:00,70,18,12.6096,102.1045,25.6,12.6096,102.1045
8,8,2016,3,3,16,30.1,1.0,0,2016-03-03 23:00:00,70,18,12.6096,102.1045,25.6,12.6096,102.1045
9,9,2016,3,3,17,45.5,1.0,0,2016-03-04 00:00:00,70,18,12.6096,102.1045,25.6,12.6096,102.1045
10,10,2016,3,3,19,47.6,1.0,0,2016-03-04 02:00:00,65,22,12.6096,102.1045,24.7,12.6096,102.1045
11,11,2016,3,3,20,47.9,1.0,0,2016-03-04 03:00:00,65,22,12.6096,102.1045,24.7,12.6096,102.1045
12,12,2016,3,3,21,46.1,1.0,0,2016-03-04 04:00:00,85,24,12.6096,102.1045,24.0,12.6096,102.1045
13,13,2016,3,3,22,38.0,1.0,0,2016-03-04 05:00:00,85,24,12.6096,102.1045,24.0,12.6096,102.1045
14,14,2016,3,3,23,34.9,1.0,0,2016-03-04 06:00:00,85,24,12.6096,102.1045,24.0,12.6096,102.1045
