datetime,WindDir,Wind Speed(km/h),lat,long
2016-03-03 01:00:00,175,12,18.7904,98.9847
2016-03-03 04:00:00,200,11,18.7904,98.9847
2016-03-03 07:00:00,210,7,18.7904,98.9847
2016-03-03 10:00:00,205,6,18.7904,98.9847
2016-03-03 13:00:00,240,3,18.7904,98.9847
2016-03-03 16:00:00,230,5,18.7904,98.9847
2016-03-03 19:00:00,220,10,18.7904,98.9847
2016-03-03 22:00:00,220,16,18.7904,98.9847
2016-03-04 01:00:00,220,15,18.7904,98.9847
2016-03-04 04:00:00,235,14,18.7904,98.9847
2016-03-04 07:00:00,240,15,18.7904,98.9847
2016-03-04 10:00:00,235,12,18.7904,98.9847
2016-03-04 13:00:00,230,9,18.7904,98.9847
2016-03-04 16:00:00,230,10,18.7904,98.9847
2016-03-04 19:00:00,205,14,18.7904,98.9847
2016-03-04 22:00:00,215,15,18.7904,98.9847
2016-03-05 01:00:00,220,17,18.7904,98.9847
2016-03-05 04:00:00,230,15,18.7904,98.9847
2016-03-05 07:00:00,235,7,18.7904,98.9847
2016-03-05 10:00:00,215,7,18.7904,98.9847
2016-03-05 13:00:00,200,5,18.7904,98.9847
2016-03-05 16:00:00,190,7,18.7904,98.9847
2016-03-05 19:00:00,185,11,18.7904,98.9847
2016-03-05 22:00:00,200,14,18.7904,98.9847
2016-03-06 01:00:00,200,18,18.7904,98.9847
2016-03-06 04:00:00,210,14,18.7904,98.9847
2016-03-06 07:00:00,205,12,18.7904,98.9847
2016-03-06 10:00:00,200,12,18.7904,98.9847
2016-03-06 13:00:00,200,12,18.7904,98.9847
2016-03-06 16:00:00,210,10,18.7904,98.9847
2016-03-06 19:00:00,220,10,18.7904,98.9847
2016-03-06 22:00:00,235,13,18.7904,98.9847
2016-03-07 01:00:00,250,18,18.7904,98.9847
2016-03-07 04:00:00,255,17,18.7904,98.9847
2016-03-07 07:00:00,260,17,18.7904,98.9847
2016-03-07 10:00:00,255,15,18.7904,98.9847
2016-03-07 13:00:00,230,12,18.7904,98.9847
2016-03-07 16:00:00,240,15,18.7904,98.9847
2016-03-07 19:00:00,255,21,18.7904,98.9847
2016-03-07 22:00:00,265,17,18.7904,98.9847
2016-03-08 01:00:00,260,15,18.7904,98.9847
2016-03-08 04:00:00,255,18,18.7904,98.9847
2016-03-08 07:00:00,260,19,18.7904,98.9847
2016-03-08 10:00:00,245,20,18.7904,98.9847
2016-03-08 13:00:00,250,16,18.7904,98.9847
2016-03-08 16:00:00,250,18,18.7904,98.9847
2016-03-08 19:00:00,265,18,18.7904,98.9847
2016-03-08 22:00:00,275,17,18.7904,98.9847
2016-03-09 01:00:00,270,18,18.7904,98.9847
2016-03-09 04:00:00,280,16,18.7904,98.9847
2016-03-09 07:00:00,295,13,18.7904,98.9847
2016-03-09 10:00:00,260,11,18.7904,98.9847
2016-03-09 13:00:00,250,10,18.7904,98.9847
2016-03-09 16:00:00,255,13,18.7904,98.9847
2016-03-09 19:00:00,265,14,18.7904,98.9847
2016-03-09 22:00:00,270,17,18.7904,98.9847
2016-03-10 01:00:00,280,18,18.7904,98.9847
2016-03-10 04:00:00,295,17,18.7904,98.9847
2016-03-10 07:00:00,260,6,18.7904,98.9847
2016-03-10 10:00:00,230,4,18.7904,98.9847
2016-03-10 13:00:00,340,2,18.7904,98.9847
2016-03-10 16:00:00,260,1,18.7904,98.9847
2016-03-10 19:00:00,185,5,18.7904,98.9847
2016-03-10 22:00:00,200,11,18.7904,98.9847
2016-03-11 01:00:00,180,14,18.7904,98.9847
2016-03-11 04:00:00,205,13,18.7904,98.9847
2016-03-11 07:00:00,215,10,18.7904,98.9847
2016-03-11 10:00:00,205,10,18.7904,98.9847
2016-03-11 13:00:00,185,12,18.7904,98.9847
2016-03-11 16:00:00,195,12,18.7904,98.9847
2016-03-11 19:00:00,185,13,18.7904,98.9847
2016-03-11 22:00:00,185,18,18.7904,98.9847
2016-03-12 01:00:00,210,6,18.7904,98.9847
2016-03-12 04:00:00,225,8,18.7904,98.9847
2016-03-12 07:00:00,215,8,18.7904,98.9847
2016-03-12 10:00:00,200,8,18.7904,98.9847
2016-03-12 13:00:00,200,13,18.7904,98.9847
2016-03-12 16:00:00,215,13,18.7904,98.9847
2016-03-12 19:00:00,240,22,18.7904,98.9847
2016-03-12 22:00:00,265,19,18.7904,98.9847
2016-03-13 01:00:00,270,19,18.7904,98.9847
2016-03-13 04:00:00,270,18,18.7904,98.9847
2016-03-13 07:00:00,285,10,18.7904,98.9847
2016-03-13 10:00:00,275,9,18.7904,98.9847
2016-03-13 13:00:00,240,6,18.7904,98.9847
2016-03-13 16:00:00,245,7,18.7904,98.9847
2016-03-13 19:00:00,260,9,18.7904,98.9847
2016-03-13 22:00:00,240,6,18.7904,98.9847
2016-03-14 01:00:00,210,1,18.7904,98.9847
2016-03-14 04:00:00,285,3,18.7904,98.9847
2016-03-14 07:00:00,195,8,18.7904,98.9847
2016-03-14 10:00:00,190,8,18.7904,98.9847
2016-03-14 13:00:00,165,6,18.7904,98.9847
2016-03-14 16:00:00,190,4,18.7904,98.9847
2016-03-14 19:00:00,220,3,18.7904,98.9847
2016-03-14 22:00:00,215,7,18.7904,98.9847
2016-03-15 01:00:00,230,6,18.7904,98.9847
2016-03-15 04:00:00,220,8,18.7904,98.9847
2016-03-15 07:00:00,235,9,18.7904,98.9847
2016-03-15 10:00:00,235,11,18.7904,98.9847
2016-03-15 13:00:00,220,9,18.7904,98.9847
2016-03-15 16:00:00,230,14,18.7904,98.9847
2016-03-15 19:00:00,245,20,18.7904,98.9847
2016-03-15 22:00:00,245,21,18.7904,98.9847
2016-03-16 01:00:00,250,27,18.7904,98.9847
2016-03-16 04:00:00,265,24,18.7904,98.9847
2016-03-16 07:00:00,245,16,18.7904,98.9847
2016-03-16 10:00:00,240,17,18.7904,98.9847
2016-03-16 13:00:00,220,14,18.7904,98.9847
2016-03-16 16:00:00,225,15,18.7904,98.9847
2016-03-16 19:00:00,240,17,18.7904,98.9847
2016-03-16 22:00:00,250,15,18.7904,98.9847
2016-03-17 01:00:00,245,16,18.7904,98.9847
2016-03-17 04:00:00,260,18,18.7904,98.9847
2016-03-17 07:00:00,280,16,18.7904,98.9847
2016-03-17 10:00:00,270,14,18.7904,98.9847
2016-03-17 13:00:00,250,14,18.7904,98.9847
2016-03-17 16:00:00,255,20,18.7904,98.9847
2016-03-17 19:00:00,255,21,18.7904,98.9847
2016-03-17 22:00:00,270,26,18.7904,98.9847
2016-03-18 01:00:00,280,23,18.7904,98.9847
2016-03-18 04:00:00,280,23,18.7904,98.9847
2016-03-18 07:00:00,265,17,18.7904,98.9847
2016-03-18 10:00:00,235,16,18.7904,98.9847
2016-03-18 13:00:00,230,17,18.7904,98.9847
2016-03-18 16:00:00,240,20,18.7904,98.9847
2016-03-18 19:00:00,250,22,18.7904,98.9847
2016-03-18 22:00:00,260,27,18.7904,98.9847
2016-03-19 01:00:00,265,27,18.7904,98.9847
2016-03-19 04:00:00,265,26,18.7904,98.9847
2016-03-19 07:00:00,270,19,18.7904,98.9847
2016-03-19 10:00:00,260,15,18.7904,98.9847
2016-03-19 13:00:00,250,12,18.7904,98.9847
2016-03-19 16:00:00,245,16,18.7904,98.9847
2016-03-19 19:00:00,255,17,18.7904,98.9847
2016-03-19 22:00:00,260,19,18.7904,98.9847
2016-03-20 01:00:00,275,24,18.7904,98.9847
2016-03-20 04:00:00,285,23,18.7904,98.9847
2016-03-20 07:00:00,280,19,18.7904,98.9847
2016-03-20 10:00:00,250,15,18.7904,98.9847
2016-03-20 13:00:00,230,13,18.7904,98.9847
2016-03-20 16:00:00,245,15,18.7904,98.9847
2016-03-20 19:00:00,260,18,18.7904,98.9847
2016-03-20 22:00:00,275,26,18.7904,98.9847
2016-03-21 01:00:00,270,28,18.7904,98.9847
2016-03-21 04:00:00,265,25,18.7904,98.9847
2016-03-21 07:00:00,260,29,18.7904,98.9847
2016-03-21 10:00:00,265,21,18.7904,98.9847
2016-03-21 13:00:00,250,14,18.7904,98.9847
2016-03-21 16:00:00,240,20,18.7904,98.9847
2016-03-21 19:00:00,255,24,18.7904,98.9847
2016-03-21 22:00:00,260,29,18.7904,98.9847
2016-03-22 01:00:00,270,27,18.7904,98.9847
2016-03-22 04:00:00,270,24,18.7904,98.9847
2016-03-22 07:00:00,275,22,18.7904,98.9847
2016-03-22 10:00:00,275,18,18.7904,98.9847
2016-03-22 13:00:00,275,17,18.7904,98.9847
2016-03-22 16:00:00,270,20,18.7904,98.9847
2016-03-22 19:00:00,280,17,18.7904,98.9847
2016-03-22 22:00:00,275,20,18.7904,98.9847
2016-03-23 01:00:00,285,24,18.7904,98.9847
2016-03-23 04:00:00,280,22,18.7904,98.9847
2016-03-23 07:00:00,280,15,18.7904,98.9847
2016-03-23 10:00:00,260,14,18.7904,98.9847
2016-03-23 13:00:00,250,12,18.7904,98.9847
2016-03-23 16:00:00,245,13,18.7904,98.9847
2016-03-23 19:00:00,245,16,18.7904,98.9847
2016-03-23 22:00:00,270,25,18.7904,98.9847
2016-03-24 01:00:00,275,29,18.7904,98.9847
2016-03-24 04:00:00,290,23,18.7904,98.9847
2016-03-24 07:00:00,285,19,18.7904,98.9847
2016-03-24 10:00:00,300,13,18.7904,98.9847
2016-03-24 13:00:00,315,4,18.7904,98.9847
2016-03-24 16:00:00,295,6,18.7904,98.9847
2016-03-24 19:00:00,255,7,18.7904,98.9847
2016-03-24 22:00:00,245,8,18.7904,98.9847
2016-03-25 01:00:00,215,5,18.7904,98.9847
2016-03-25 04:00:00,190,4,18.7904,98.9847
2016-03-25 07:00:00,55,6,18.7904,98.9847
2016-03-25 10:00:00,115,12,18.7904,98.9847
2016-03-25 13:00:00,155,24,18.7904,98.9847
2016-03-25 16:00:00,160,24,18.7904,98.9847
2016-03-25 19:00:00,165,30,18.7904,98.9847
2016-03-25 22:00:00,170,40,18.7904,98.9847
2016-03-26 01:00:00,185,46,18.7904,98.9847
2016-03-26 04:00:00,180,41,18.7904,98.9847
2016-03-26 07:00:00,190,32,18.7904,98.9847
2016-03-26 10:00:00,190,20,18.7904,98.9847
2016-03-26 13:00:00,195,16,18.7904,98.9847
2016-03-26 16:00:00,175,14,18.7904,98.9847
2016-03-26 19:00:00,150,24,18.7904,98.9847
2016-03-26 22:00:00,175,32,18.7904,98.9847
2016-03-27 01:00:00,180,42,18.7904,98.9847
2016-03-27 04:00:00,185,30,18.7904,98.9847
2016-03-27 07:00:00,210,15,18.7904,98.9847
2016-03-27 10:00:00,205,12,18.7904,98.9847
2016-03-27 13:00:00,190,13,18.7904,98.9847
2016-03-27 16:00:00,165,18,18.7904,98.9847
2016-03-27 19:00:00,185,20,18.7904,98.9847
2016-03-27 22:00:00,200,28,18.7904,98.9847
2016-03-28 01:00:00,205,24,18.7904,98.9847
2016-03-28 04:00:00,210,20,18.7904,98.9847
2016-03-28 07:00:00,215,14,18.7904,98.9847
2016-03-28 10:00:00,185,13,18.7904,98.9847
2016-03-28 13:00:00,190,8,18.7904,98.9847
2016-03-28 16:00:00,180,12,18.7904,98.9847
2016-03-28 19:00:00,175,14,18.7904,98.9847
2016-03-28 22:00:00,190,25,18.7904,98.9847
2016-03-29 01:00:00,220,20,18.7904,98.9847
2016-03-29 04:00:00,230,21,18.7904,98.9847
2016-03-29 07:00:00,220,18,18.7904,98.9847
2016-03-29 10:00:00,215,15,18.7904,98.9847
2016-03-29 13:00:00,215,16,18.7904,98.9847
2016-03-29 16:00:00,210,16,18.7904,98.9847
2016-03-29 19:00:00,215,17,18.7904,98.9847
2016-03-29 22:00:00,215,16,18.7904,98.9847
2016-03-30 01:00:00,250,15,18.7904,98.9847
2016-03-30 04:00:00,250,15,18.7904,98.9847
2016-03-30 07:00:00,220,7,18.7904,98.9847
2016-03-30 10:00:00,205,7,18.7904,98.9847
2016-03-30 13:00:00,180,7,18.7904,98.9847
2016-03-30 16:00:00,175,7,18.7904,98.9847
2016-03-30 19:00:00,150,12,18.7904,98.9847
2016-03-30 22:00:00,170,17,18.7904,98.9847
2016-03-31 01:00:00,190,19,18.7904,98.9847
2016-03-31 04:00:00,220,13,18.7904,98.9847
2016-03-31 07:00:00,260,7,18.7904,98.9847
2016-03-31 10:00:00,225,4,18.7904,98.9847
2016-03-31 13:00:00,220,7,18.7904,98.9847
2016-03-31 16:00:00,220,8,18.7904,98.9847
2016-03-31 19:00:00,225,10,18.7904,98.9847
2016-03-31 22:00:00,245,11,18.7904,98.9847
2016-04-01 01:00:00,220,7,18.7904,98.9847
2016-04-01 04:00:00,230,11,18.7904,98.9847
2016-04-01 07:00:00,255,11,18.7904,98.9847
2016-04-01 10:00:00,245,11,18.7904,98.9847
2016-04-01 13:00:00,240,16,18.7904,98.9847
2016-04-01 16:00:00,220,17,18.7904,98.9847
2016-04-01 19:00:00,205,24,18.7904,98.9847
2016-04-01 22:00:00,215,25,18.7904,98.9847
2016-04-02 01:00:00,245,29,18.7904,98.9847
2016-04-02 04:00:00,245,28,18.7904,98.9847
2016-04-02 07:00:00,280,22,18.7904,98.9847
2016-04-02 10:00:00,265,15,18.7904,98.9847
2016-04-02 13:00:00,235,17,18.7904,98.9847
2016-04-02 16:00:00,225,22,18.7904,98.9847
2016-04-02 19:00:00,230,24,18.7904,98.9847
2016-04-02 22:00:00,255,22,18.7904,98.9847
2016-04-03 01:00:00,270,24,18.7904,98.9847
2016-04-03 04:00:00,275,22,18.7904,98.9847
2016-04-03 07:00:00,295,15,18.7904,98.9847
2016-04-03 10:00:00,280,11,18.7904,98.9847
2016-04-03 13:00:00,225,8,18.7904,98.9847
2016-04-03 16:00:00,220,10,18.7904,98.9847
2016-04-03 19:00:00,240,10,18.7904,98.9847
2016-04-03 22:00:00,275,14,18.7904,98.9847
2016-04-04 01:00:00,285,27,18.7904,98.9847
2016-04-04 04:00:00,285,25,18.7904,98.9847
2016-04-04 07:00:00,290,17,18.7904,98.9847
2016-04-04 10:00:00,270,14,18.7904,98.9847
2016-04-04 13:00:00,220,11,18.7904,98.9847
2016-04-04 16:00:00,215,13,18.7904,98.9847
2016-04-04 19:00:00,220,15,18.7904,98.9847
2016-04-04 22:00:00,270,22,18.7904,98.9847
2016-04-05 01:00:00,255,33,18.7904,98.9847
2016-04-05 04:00:00,260,31,18.7904,98.9847
2016-04-05 07:00:00,270,30,18.7904,98.9847
2016-04-05 10:00:00,255,22,18.7904,98.9847
2016-04-05 13:00:00,225,18,18.7904,98.9847
2016-04-05 16:00:00,235,20,18.7904,98.9847
2016-04-05 19:00:00,260,28,18.7904,98.9847
2016-04-05 22:00:00,275,36,18.7904,98.9847
2016-04-06 01:00:00,265,27,18.7904,98.9847
2016-04-06 04:00:00,270,26,18.7904,98.9847
2016-04-06 07:00:00,270,22,18.7904,98.9847
2016-04-06 10:00:00,270,18,18.7904,98.9847
2016-04-06 13:00:00,250,10,18.7904,98.9847
2016-04-06 16:00:00,265,8,18.7904,98.9847
2016-04-06 19:00:00,250,6,18.7904,98.9847
2016-04-06 22:00:00,285,19,18.7904,98.9847
2016-04-07 01:00:00,280,17,18.7904,98.9847
2016-04-07 04:00:00,285,16,18.7904,98.9847
2016-04-07 07:00:00,305,12,18.7904,98.9847
2016-04-07 10:00:00,300,7,18.7904,98.9847
2016-04-07 13:00:00,170,3,18.7904,98.9847
2016-04-07 16:00:00,195,6,18.7904,98.9847
2016-04-07 19:00:00,225,9,18.7904,98.9847
