,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,53.7,1.0,0,2016-03-03 15:00:00,240,3,18.7904,98.9847,33.7,18.7904,98.9847
1,1,2016,3,3,9,53.7,1.0,0,2016-03-03 16:00:00,230,5,18.7904,98.9847,33.4,18.7904,98.9847
2,2,2016,3,3,10,53.7,1.0,0,2016-03-03 17:00:00,230,5,18.7904,98.9847,33.4,18.7904,98.9847
3,3,2016,3,3,11,53.7,1.0,0,2016-03-03 18:00:00,230,5,18.7904,98.9847,33.4,18.7904,98.9847
4,4,2016,3,3,12,33.4,1.0,0,2016-03-03 19:00:00,220,10,18.7904,98.9847,24.4,18.7904,98.9847
5,5,2016,3,3,13,37.3,1.0,0,2016-03-03 20:00:00,220,10,18.7904,98.9847,24.4,18.7904,98.9847
6,6,2016,3,3,14,36.5,1.0,0,2016-03-03 21:00:00,220,10,18.7904,98.9847,24.4,18.7904,98.9847
7,7,2016,3,3,15,34.1,1.0,0,2016-03-03 22:00:00,220,16,18.7904,98.9847,21.8,18.7904,98.9847
8,8,2016,3,3,16,35.4,1.0,0,2016-03-03 23:00:00,220,16,18.7904,98.9847,21.8,18.7904,98.9847
9,9,2016,3,3,17,44.0,1.0,0,2016-03-04 00:00:00,220,16,18.7904,98.9847,21.8,18.7904,98.9847
10,10,2016,3,3,19,43.7,1.0,0,2016-03-04 02:00:00,220,15,18.7904,98.9847,21.5,18.7904,98.9847
11,11,2016,3,3,20,41.3,1.0,0,2016-03-04 03:00:00,220,15,18.7904,98.9847,21.5,18.7904,98.9847
12,12,2016,3,3,21,38.5,1.0,0,2016-03-04 04:00:00,235,14,18.7904,98.9847,20.3,18.7904,98.9847
13,13,2016,3,3,22,41.2,1.0,0,2016-03-04 05:00:00,235,14,18.7904,98.9847,20.3,18.7904,98.9847
14,14,2016,3,3,23,39.3,1.0,0,2016-03-04 06:00:00,235,14,18.7904,98.9847,20.3,18.7904,98.9847
15,15,2016,3,4,0,32.4,1.0,0,2016-03-04 07:00:00,240,15,18.7904,98.9847,20.9,18.7904,98.9847
16,16,2016,3,4,1,31.3,1.0,0,2016-03-04 08:00:00,240,15,18.7904,98.9847,20.9,18.7904,98.9847
17,17,2016,3,4,2,23.9,1.0,0,2016-03-04 09:00:00,240,15,18.7904,98.9847,20.9,18.7904,98.9847
18,18,2016,3,4,3,27.4,1.0,0,2016-03-04 10:00:00,235,12,18.7904,98.9847,30.8,18.7904,98.9847
19,19,2016,3,4,4,34.0,1.0,0,2016-03-04 11:00:00,235,12,18.7904,98.9847,30.8,18.7904,98.9847
20,20,2016,3,4,5,41.2,1.0,0,2016-03-04 12:00:00,235,12,18.7904,98.9847,30.8,18.7904,98.9847
21,21,2016,3,4,6,36.6,1.0,0,2016-03-04 13:00:00,230,9,18.7904,98.9847,34.5,18.7904,98.9847
22,22,2016,3,4,7,36.7,1.0,0,2016-03-04 14:00:00,230,9,18.7904,98.9847,34.5,18.7904,98.9847
23,23,2016,3,4,8,38.5,1.0,0,2016-03-04 15:00:00,230,9,18.7904,98.9847,34.5,18.7904,98.9847
24,24,2016,3,4,9,39.9,1.0,0,2016-03-04 16:00:00,230,10,18.7904,98.9847,34.8,18.7904,98.9847
25,25,2016,3,4,10,42.9,1.0,0,2016-03-04 17:00:00,230,10,18.7904,98.9847,34.8,18.7904,98.9847
26,26,2016,3,4,11,40.2,1.0,0,2016-03-04 18:00:00,230,10,18.7904,98.9847,34.8,18.7904,98.9847
27,27,2016,3,4,12,41.0,1.0,0,2016-03-04 19:00:00,205,14,18.7904,98.9847,26.3,18.7904,98.9847
28,28,2016,3,4,13,43.1,1.0,0,2016-03-04 20:00:00,205,14,18.7904,98.9847,26.3,18.7904,98.9847
29,29,2016,3,4,14,39.5,1.0,0,2016-03-04 21:00:00,205,14,18.7904,98.9847,26.3,18.7904,98.9847
30,30,2016,3,4,15,34.5,1.0,0,2016-03-04 22:00:00,215,15,18.7904,98.9847,23.6,18.7904,98.9847
31,31,2016,3,4,16,30.9,1.0,0,2016-03-04 23:00:00,215,15,18.7904,98.9847,23.6,18.7904,98.9847
32,32,2016,3,4,17,41.5,1.0,0,2016-03-05 00:00:00,215,15,18.7904,98.9847,23.6,18.7904,98.9847
