datetime,WindDir,Wind Speed(km/h),lat,long
2016-03-03 01:00:00,55,14,14.0041,99.5483
2016-03-03 04:00:00,55,14,14.0041,99.5483
2016-03-03 07:00:00,70,18,14.0041,99.5483
2016-03-03 10:00:00,80,17,14.0041,99.5483
2016-03-03 13:00:00,80,13,14.0041,99.5483
2016-03-03 16:00:00,85,10,14.0041,99.5483
2016-03-03 19:00:00,100,13,14.0041,99.5483
2016-03-03 22:00:00,95,12,14.0041,99.5483
2016-03-04 01:00:00,115,13,14.0041,99.5483
2016-03-04 04:00:00,130,11,14.0041,99.5483
2016-03-04 07:00:00,115,9,14.0041,99.5483
2016-03-04 10:00:00,115,8,14.0041,99.5483
2016-03-04 13:00:00,140,7,14.0041,99.5483
2016-03-04 16:00:00,155,5,14.0041,99.5483
2016-03-04 19:00:00,335,4,14.0041,99.5483
2016-03-04 22:00:00,85,4,14.0041,99.5483
2016-03-05 01:00:00,115,11,14.0041,99.5483
2016-03-05 04:00:00,135,11,14.0041,99.5483
2016-03-05 07:00:00,155,14,14.0041,99.5483
2016-03-05 10:00:00,155,16,14.0041,99.5483
2016-03-05 13:00:00,145,14,14.0041,99.5483
2016-03-05 16:00:00,145,12,14.0041,99.5483
2016-03-05 19:00:00,125,2,14.0041,99.5483
2016-03-05 22:00:00,125,11,14.0041,99.5483
2016-03-06 01:00:00,130,9,14.0041,99.5483
2016-03-06 04:00:00,165,13,14.0041,99.5483
2016-03-06 07:00:00,165,19,14.0041,99.5483
2016-03-06 10:00:00,155,16,14.0041,99.5483
2016-03-06 13:00:00,155,15,14.0041,99.5483
2016-03-06 16:00:00,155,14,14.0041,99.5483
2016-03-06 19:00:00,190,9,14.0041,99.5483
2016-03-06 22:00:00,195,6,14.0041,99.5483
2016-03-07 01:00:00,190,6,14.0041,99.5483
2016-03-07 04:00:00,180,9,14.0041,99.5483
2016-03-07 07:00:00,190,12,14.0041,99.5483
2016-03-07 10:00:00,180,11,14.0041,99.5483
2016-03-07 13:00:00,190,10,14.0041,99.5483
2016-03-07 16:00:00,180,10,14.0041,99.5483
2016-03-07 19:00:00,245,13,14.0041,99.5483
2016-03-07 22:00:00,210,16,14.0041,99.5483
2016-03-08 01:00:00,230,16,14.0041,99.5483
2016-03-08 04:00:00,250,16,14.0041,99.5483
2016-03-08 07:00:00,260,13,14.0041,99.5483
2016-03-08 10:00:00,265,10,14.0041,99.5483
2016-03-08 13:00:00,290,11,14.0041,99.5483
2016-03-08 16:00:00,280,9,14.0041,99.5483
2016-03-08 19:00:00,270,20,14.0041,99.5483
2016-03-08 22:00:00,275,15,14.0041,99.5483
2016-03-09 01:00:00,255,13,14.0041,99.5483
2016-03-09 04:00:00,260,14,14.0041,99.5483
2016-03-09 07:00:00,260,11,14.0041,99.5483
2016-03-09 10:00:00,245,9,14.0041,99.5483
2016-03-09 13:00:00,250,13,14.0041,99.5483
