,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,65.2,1.0,0,2016-03-03 15:00:00,80,13,14.0041,99.5483,35.1,14.0041,99.5483
1,1,2016,3,3,9,65.2,1.0,0,2016-03-03 16:00:00,85,10,14.0041,99.5483,36.7,14.0041,99.5483
2,2,2016,3,3,10,64.9,1.0,0,2016-03-03 17:00:00,85,10,14.0041,99.5483,36.7,14.0041,99.5483
3,3,2016,3,3,11,64.9,1.0,0,2016-03-03 18:00:00,85,10,14.0041,99.5483,36.7,14.0041,99.5483
4,4,2016,3,3,12,38.4,1.0,0,2016-03-03 19:00:00,100,13,14.0041,99.5483,31.8,14.0041,99.5483
5,5,2016,3,3,13,39.0,1.0,0,2016-03-03 20:00:00,100,13,14.0041,99.5483,31.8,14.0041,99.5483
6,6,2016,3,3,14,30.1,1.0,0,2016-03-03 21:00:00,100,13,14.0041,99.5483,31.8,14.0041,99.5483
7,7,2016,3,3,15,32.3,1.0,0,2016-03-03 22:00:00,95,12,14.0041,99.5483,28.8,14.0041,99.5483
8,8,2016,3,3,16,32.0,1.0,0,2016-03-03 23:00:00,95,12,14.0041,99.5483,28.8,14.0041,99.5483
9,9,2016,3,3,17,64.1,1.0,0,2016-03-04 00:00:00,95,12,14.0041,99.5483,28.8,14.0041,99.5483
10,10,2016,3,3,19,76.6,1.0,0,2016-03-04 02:00:00,115,13,14.0041,99.5483,27.1,14.0041,99.5483
11,11,2016,3,3,20,77.3,1.0,0,2016-03-04 03:00:00,115,13,14.0041,99.5483,27.1,14.0041,99.5483
12,12,2016,3,3,21,68.6,1.0,0,2016-03-04 04:00:00,130,11,14.0041,99.5483,25.2,14.0041,99.5483
13,13,2016,3,3,22,51.7,1.0,0,2016-03-04 05:00:00,130,11,14.0041,99.5483,25.2,14.0041,99.5483
14,14,2016,3,3,23,49.2,1.0,0,2016-03-04 06:00:00,130,11,14.0041,99.5483,25.2,14.0041,99.5483
15,15,2016,3,4,0,43.3,1.0,0,2016-03-04 07:00:00,115,9,14.0041,99.5483,25.7,14.0041,99.5483
16,16,2016,3,4,1,40.0,1.0,0,2016-03-04 08:00:00,115,9,14.0041,99.5483,25.7,14.0041,99.5483
17,17,2016,3,4,2,37.8,1.0,0,2016-03-04 09:00:00,115,9,14.0041,99.5483,25.7,14.0041,99.5483
18,18,2016,3,4,3,38.6,1.0,0,2016-03-04 10:00:00,115,8,14.0041,99.5483,31.9,14.0041,99.5483
19,19,2016,3,4,4,41.5,1.0,0,2016-03-04 11:00:00,115,8,14.0041,99.5483,31.9,14.0041,99.5483
20,20,2016,3,4,5,42.2,1.0,0,2016-03-04 12:00:00,115,8,14.0041,99.5483,31.9,14.0041,99.5483
21,21,2016,3,4,6,41.3,1.0,0,2016-03-04 13:00:00,140,7,14.0041,99.5483,35.7,14.0041,99.5483
22,22,2016,3,4,7,39.4,1.0,0,2016-03-04 14:00:00,140,7,14.0041,99.5483,35.7,14.0041,99.5483
23,23,2016,3,4,8,42.5,1.0,0,2016-03-04 15:00:00,140,7,14.0041,99.5483,35.7,14.0041,99.5483
24,24,2016,3,4,9,33.7,1.0,0,2016-03-04 16:00:00,155,5,14.0041,99.5483,37.0,14.0041,99.5483
25,25,2016,3,4,10,32.3,1.0,0,2016-03-04 17:00:00,155,5,14.0041,99.5483,37.0,14.0041,99.5483
26,26,2016,3,4,11,30.2,1.0,0,2016-03-04 18:00:00,155,5,14.0041,99.5483,37.0,14.0041,99.5483
27,27,2016,3,4,12,33.2,1.0,0,2016-03-04 19:00:00,335,4,14.0041,99.5483,31.3,14.0041,99.5483
28,28,2016,3,4,13,32.3,1.0,0,2016-03-04 20:00:00,335,4,14.0041,99.5483,31.3,14.0041,99.5483
29,29,2016,3,4,14,32.0,1.0,0,2016-03-04 21:00:00,335,4,14.0041,99.5483,31.3,14.0041,99.5483
30,30,2016,3,4,15,28.1,1.0,0,2016-03-04 22:00:00,85,4,14.0041,99.5483,28.6,14.0041,99.5483
31,31,2016,3,4,16,27.7,1.0,0,2016-03-04 23:00:00,85,4,14.0041,99.5483,28.6,14.0041,99.5483
32,32,2016,3,4,17,29.2,1.0,0,2016-03-05 00:00:00,85,4,14.0041,99.5483,28.6,14.0041,99.5483
33,33,2016,3,4,18,30.4,1.0,0,2016-03-05 01:00:00,115,11,14.0041,99.5483,27.3,14.0041,99.5483
34,34,2016,3,4,19,37.4,1.0,0,2016-03-05 02:00:00,115,11,14.0041,99.5483,27.3,14.0041,99.5483
35,35,2016,3,4,20,37.4,1.0,0,2016-03-05 03:00:00,115,11,14.0041,99.5483,27.3,14.0041,99.5483
36,36,2016,3,4,21,37.4,1.0,0,2016-03-05 04:00:00,135,11,14.0041,99.5483,25.8,14.0041,99.5483
37,37,2016,3,4,22,37.4,1.0,0,2016-03-05 05:00:00,135,11,14.0041,99.5483,25.8,14.0041,99.5483
38,38,2016,3,4,23,37.2,1.0,0,2016-03-05 06:00:00,135,11,14.0041,99.5483,25.8,14.0041,99.5483
39,39,2016,3,5,0,37.2,1.0,0,2016-03-05 07:00:00,155,14,14.0041,99.5483,26.1,14.0041,99.5483
40,40,2016,3,5,1,37.2,1.0,0,2016-03-05 08:00:00,155,14,14.0041,99.5483,26.1,14.0041,99.5483
41,41,2016,3,5,2,37.2,1.0,0,2016-03-05 09:00:00,155,14,14.0041,99.5483,26.1,14.0041,99.5483
42,42,2016,3,5,3,37.2,1.0,0,2016-03-05 10:00:00,155,16,14.0041,99.5483,32.0,14.0041,99.5483
43,43,2016,3,5,4,37.1,1.0,0,2016-03-05 11:00:00,155,16,14.0041,99.5483,32.0,14.0041,99.5483
44,44,2016,3,5,5,37.2,1.0,0,2016-03-05 12:00:00,155,16,14.0041,99.5483,32.0,14.0041,99.5483
45,45,2016,3,5,6,37.2,1.0,0,2016-03-05 13:00:00,145,14,14.0041,99.5483,35.9,14.0041,99.5483
46,46,2016,3,5,7,37.2,1.0,0,2016-03-05 14:00:00,145,14,14.0041,99.5483,35.9,14.0041,99.5483
47,47,2016,3,5,8,37.2,1.0,0,2016-03-05 15:00:00,145,14,14.0041,99.5483,35.9,14.0041,99.5483
48,48,2016,3,5,9,37.2,1.0,0,2016-03-05 16:00:00,145,12,14.0041,99.5483,37.2,14.0041,99.5483
49,49,2016,3,5,10,37.2,1.0,0,2016-03-05 17:00:00,145,12,14.0041,99.5483,37.2,14.0041,99.5483
50,50,2016,3,5,11,37.2,1.0,0,2016-03-05 18:00:00,145,12,14.0041,99.5483,37.2,14.0041,99.5483
51,51,2016,3,5,12,37.2,1.0,0,2016-03-05 19:00:00,125,2,14.0041,99.5483,31.1,14.0041,99.5483
52,52,2016,3,5,13,37.2,1.0,0,2016-03-05 20:00:00,125,2,14.0041,99.5483,31.1,14.0041,99.5483
53,53,2016,3,5,14,37.1,1.0,0,2016-03-05 21:00:00,125,2,14.0041,99.5483,31.1,14.0041,99.5483
54,54,2016,3,5,15,37.2,1.0,0,2016-03-05 22:00:00,125,11,14.0041,99.5483,28.3,14.0041,99.5483
55,55,2016,3,5,16,37.2,1.0,0,2016-03-05 23:00:00,125,11,14.0041,99.5483,28.3,14.0041,99.5483
56,56,2016,3,5,17,37.9,1.0,0,2016-03-06 00:00:00,125,11,14.0041,99.5483,28.3,14.0041,99.5483
57,57,2016,3,5,18,23.4,1.0,0,2016-03-06 01:00:00,130,9,14.0041,99.5483,27.4,14.0041,99.5483
58,58,2016,3,5,19,29.5,1.0,0,2016-03-06 02:00:00,130,9,14.0041,99.5483,27.4,14.0041,99.5483
59,59,2016,3,5,20,32.9,1.0,0,2016-03-06 03:00:00,130,9,14.0041,99.5483,27.4,14.0041,99.5483
60,60,2016,3,5,21,30.3,1.0,0,2016-03-06 04:00:00,165,13,14.0041,99.5483,26.1,14.0041,99.5483
61,61,2016,3,5,22,29.4,1.0,0,2016-03-06 05:00:00,165,13,14.0041,99.5483,26.1,14.0041,99.5483
62,62,2016,3,5,23,27.4,1.0,0,2016-03-06 06:00:00,165,13,14.0041,99.5483,26.1,14.0041,99.5483
63,63,2016,3,6,0,27.5,1.0,0,2016-03-06 07:00:00,165,19,14.0041,99.5483,26.6,14.0041,99.5483
64,64,2016,3,6,1,29.6,1.0,0,2016-03-06 08:00:00,165,19,14.0041,99.5483,26.6,14.0041,99.5483
65,65,2016,3,6,2,29.7,1.0,0,2016-03-06 09:00:00,165,19,14.0041,99.5483,26.6,14.0041,99.5483
66,66,2016,3,6,3,29.0,1.0,0,2016-03-06 10:00:00,155,16,14.0041,99.5483,32.3,14.0041,99.5483
67,67,2016,3,6,4,30.6,1.0,0,2016-03-06 11:00:00,155,16,14.0041,99.5483,32.3,14.0041,99.5483
68,68,2016,3,6,5,31.6,1.0,0,2016-03-06 12:00:00,155,16,14.0041,99.5483,32.3,14.0041,99.5483
69,69,2016,3,6,6,34.7,1.0,0,2016-03-06 13:00:00,155,15,14.0041,99.5483,36.3,14.0041,99.5483
70,70,2016,3,6,7,35.1,1.0,0,2016-03-06 14:00:00,155,15,14.0041,99.5483,36.3,14.0041,99.5483
71,71,2016,3,6,8,31.8,1.0,0,2016-03-06 15:00:00,155,15,14.0041,99.5483,36.3,14.0041,99.5483
72,72,2016,3,6,9,31.4,1.0,0,2016-03-06 16:00:00,155,14,14.0041,99.5483,37.5,14.0041,99.5483
73,73,2016,3,6,10,29.4,1.0,0,2016-03-06 17:00:00,155,14,14.0041,99.5483,37.5,14.0041,99.5483
74,74,2016,3,6,11,29.6,1.0,0,2016-03-06 18:00:00,155,14,14.0041,99.5483,37.5,14.0041,99.5483
