datetime,WindDir,Wind Speed(km/h),lat,long
2016-03-03 01:00:00,80,4,16.4467,102.833
2016-03-03 04:00:00,15,6,16.4467,102.833
2016-03-03 07:00:00,75,8,16.4467,102.833
2016-03-03 10:00:00,85,8,16.4467,102.833
2016-03-03 13:00:00,90,10,16.4467,102.833
2016-03-03 16:00:00,80,6,16.4467,102.833
2016-03-03 19:00:00,125,8,16.4467,102.833
2016-03-03 22:00:00,130,8,16.4467,102.833
2016-03-04 01:00:00,150,10,16.4467,102.833
2016-03-04 04:00:00,190,11,16.4467,102.833
2016-03-04 07:00:00,195,12,16.4467,102.833
2016-03-04 10:00:00,215,12,16.4467,102.833
2016-03-04 13:00:00,195,8,16.4467,102.833
2016-03-04 16:00:00,215,6,16.4467,102.833
2016-03-04 19:00:00,185,8,16.4467,102.833
2016-03-04 22:00:00,185,15,16.4467,102.833
2016-03-05 01:00:00,195,14,16.4467,102.833
2016-03-05 04:00:00,175,16,16.4467,102.833
2016-03-05 07:00:00,170,28,16.4467,102.833
2016-03-05 10:00:00,180,23,16.4467,102.833
2016-03-05 13:00:00,205,13,16.4467,102.833
2016-03-05 16:00:00,215,10,16.4467,102.833
2016-03-05 19:00:00,200,11,16.4467,102.833
2016-03-05 22:00:00,220,11,16.4467,102.833
2016-03-06 01:00:00,245,4,16.4467,102.833
2016-03-06 04:00:00,175,7,16.4467,102.833
2016-03-06 07:00:00,165,12,16.4467,102.833
2016-03-06 10:00:00,175,16,16.4467,102.833
2016-03-06 13:00:00,170,12,16.4467,102.833
2016-03-06 16:00:00,185,10,16.4467,102.833
2016-03-06 19:00:00,185,12,16.4467,102.833
2016-03-06 22:00:00,205,13,16.4467,102.833
2016-03-07 01:00:00,230,11,16.4467,102.833
2016-03-07 04:00:00,230,7,16.4467,102.833
2016-03-07 07:00:00,280,11,16.4467,102.833
2016-03-07 10:00:00,265,12,16.4467,102.833
2016-03-07 13:00:00,250,10,16.4467,102.833
2016-03-07 16:00:00,225,13,16.4467,102.833
2016-03-07 19:00:00,225,14,16.4467,102.833
2016-03-07 22:00:00,230,15,16.4467,102.833
2016-03-08 01:00:00,215,21,16.4467,102.833
2016-03-08 04:00:00,215,23,16.4467,102.833
2016-03-08 07:00:00,225,22,16.4467,102.833
2016-03-08 10:00:00,240,21,16.4467,102.833
2016-03-08 13:00:00,260,16,16.4467,102.833
2016-03-08 16:00:00,240,17,16.4467,102.833
2016-03-08 19:00:00,230,22,16.4467,102.833
2016-03-08 22:00:00,220,20,16.4467,102.833
2016-03-09 01:00:00,215,21,16.4467,102.833
2016-03-09 04:00:00,230,15,16.4467,102.833
2016-03-09 07:00:00,255,12,16.4467,102.833
2016-03-09 10:00:00,225,13,16.4467,102.833
2016-03-09 13:00:00,230,18,16.4467,102.833
2016-03-09 16:00:00,230,19,16.4467,102.833
2016-03-09 19:00:00,225,24,16.4467,102.833
2016-03-09 22:00:00,225,16,16.4467,102.833
2016-03-10 01:00:00,230,15,16.4467,102.833
2016-03-10 04:00:00,265,20,16.4467,102.833
2016-03-10 07:00:00,285,13,16.4467,102.833
2016-03-10 10:00:00,270,9,16.4467,102.833
2016-03-10 13:00:00,240,3,16.4467,102.833
2016-03-10 16:00:00,180,5,16.4467,102.833
2016-03-10 19:00:00,175,10,16.4467,102.833
2016-03-10 22:00:00,185,13,16.4467,102.833
2016-03-11 01:00:00,200,16,16.4467,102.833
2016-03-11 04:00:00,190,17,16.4467,102.833
2016-03-11 07:00:00,190,16,16.4467,102.833
2016-03-11 10:00:00,190,12,16.4467,102.833
2016-03-11 13:00:00,120,9,16.4467,102.833
2016-03-11 16:00:00,145,10,16.4467,102.833
2016-03-11 19:00:00,165,17,16.4467,102.833
2016-03-11 22:00:00,190,26,16.4467,102.833
2016-03-12 01:00:00,190,23,16.4467,102.833
2016-03-12 04:00:00,185,30,16.4467,102.833
2016-03-12 07:00:00,190,29,16.4467,102.833
2016-03-12 10:00:00,205,24,16.4467,102.833
2016-03-12 13:00:00,205,17,16.4467,102.833
2016-03-12 16:00:00,220,17,16.4467,102.833
2016-03-12 19:00:00,215,23,16.4467,102.833
2016-03-12 22:00:00,230,23,16.4467,102.833
2016-03-13 01:00:00,240,24,16.4467,102.833
2016-03-13 04:00:00,245,26,16.4467,102.833
2016-03-13 07:00:00,235,19,16.4467,102.833
2016-03-13 10:00:00,230,20,16.4467,102.833
2016-03-13 13:00:00,200,12,16.4467,102.833
2016-03-13 16:00:00,230,21,16.4467,102.833
2016-03-13 19:00:00,235,23,16.4467,102.833
2016-03-13 22:00:00,215,17,16.4467,102.833
2016-03-14 01:00:00,210,7,16.4467,102.833
2016-03-14 04:00:00,245,11,16.4467,102.833
2016-03-14 07:00:00,200,12,16.4467,102.833
2016-03-14 10:00:00,215,10,16.4467,102.833
2016-03-14 13:00:00,220,9,16.4467,102.833
2016-03-14 16:00:00,220,7,16.4467,102.833
2016-03-14 19:00:00,195,9,16.4467,102.833
2016-03-14 22:00:00,190,12,16.4467,102.833
2016-03-15 01:00:00,210,17,16.4467,102.833
2016-03-15 04:00:00,200,21,16.4467,102.833
2016-03-15 07:00:00,260,6,16.4467,102.833
2016-03-15 10:00:00,260,6,16.4467,102.833
2016-03-15 13:00:00,235,9,16.4467,102.833
2016-03-15 16:00:00,240,12,16.4467,102.833
2016-03-15 19:00:00,225,16,16.4467,102.833
2016-03-15 22:00:00,235,13,16.4467,102.833
2016-03-16 01:00:00,250,12,16.4467,102.833
2016-03-16 04:00:00,260,23,16.4467,102.833
2016-03-16 07:00:00,245,24,16.4467,102.833
2016-03-16 10:00:00,235,28,16.4467,102.833
2016-03-16 13:00:00,235,27,16.4467,102.833
2016-03-16 16:00:00,235,24,16.4467,102.833
2016-03-16 19:00:00,230,30,16.4467,102.833
2016-03-16 22:00:00,215,26,16.4467,102.833
2016-03-17 01:00:00,210,22,16.4467,102.833
2016-03-17 04:00:00,215,26,16.4467,102.833
2016-03-17 07:00:00,210,29,16.4467,102.833
2016-03-17 10:00:00,210,26,16.4467,102.833
2016-03-17 13:00:00,225,22,16.4467,102.833
2016-03-17 16:00:00,230,23,16.4467,102.833
2016-03-17 19:00:00,245,25,16.4467,102.833
2016-03-17 22:00:00,250,13,16.4467,102.833
2016-03-18 01:00:00,235,15,16.4467,102.833
2016-03-18 04:00:00,230,17,16.4467,102.833
2016-03-18 07:00:00,245,18,16.4467,102.833
2016-03-18 10:00:00,235,20,16.4467,102.833
2016-03-18 13:00:00,235,24,16.4467,102.833
2016-03-18 16:00:00,225,26,16.4467,102.833
2016-03-18 19:00:00,225,27,16.4467,102.833
2016-03-18 22:00:00,230,19,16.4467,102.833
2016-03-19 01:00:00,240,22,16.4467,102.833
2016-03-19 04:00:00,235,25,16.4467,102.833
2016-03-19 07:00:00,235,29,16.4467,102.833
2016-03-19 10:00:00,230,29,16.4467,102.833
2016-03-19 13:00:00,225,27,16.4467,102.833
2016-03-19 16:00:00,225,28,16.4467,102.833
2016-03-19 19:00:00,225,30,16.4467,102.833
2016-03-19 22:00:00,205,22,16.4467,102.833
2016-03-20 01:00:00,210,25,16.4467,102.833
2016-03-20 04:00:00,220,29,16.4467,102.833
2016-03-20 07:00:00,215,31,16.4467,102.833
2016-03-20 10:00:00,215,29,16.4467,102.833
2016-03-20 13:00:00,225,27,16.4467,102.833
2016-03-20 16:00:00,235,31,16.4467,102.833
2016-03-20 19:00:00,240,30,16.4467,102.833
2016-03-20 22:00:00,230,23,16.4467,102.833
2016-03-21 01:00:00,240,25,16.4467,102.833
2016-03-21 04:00:00,235,30,16.4467,102.833
2016-03-21 07:00:00,240,31,16.4467,102.833
2016-03-21 10:00:00,240,31,16.4467,102.833
2016-03-21 13:00:00,250,22,16.4467,102.833
2016-03-21 16:00:00,235,24,16.4467,102.833
2016-03-21 19:00:00,225,36,16.4467,102.833
2016-03-21 22:00:00,230,29,16.4467,102.833
2016-03-22 01:00:00,245,27,16.4467,102.833
