,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime
0,2016,3,3,8,35.8,1.0,0,2016-03-03 15:00:00
1,2016,3,3,9,35.8,1.0,0,2016-03-03 16:00:00
2,2016,3,3,10,36.0,1.0,0,2016-03-03 17:00:00
3,2016,3,3,11,35.9,1.0,0,2016-03-03 18:00:00
4,2016,3,3,17,48.7,1.0,0,2016-03-04 00:00:00
5,2016,3,3,19,77.0,1.0,0,2016-03-04 02:00:00
6,2016,3,3,20,55.7,1.0,0,2016-03-04 03:00:00
7,2016,3,3,21,47.5,1.0,0,2016-03-04 04:00:00
8,2016,3,3,22,36.6,1.0,0,2016-03-04 05:00:00
9,2016,3,3,23,35.3,1.0,0,2016-03-04 06:00:00
10,2016,3,4,0,34.0,1.0,0,2016-03-04 07:00:00
11,2016,3,4,1,31.9,1.0,0,2016-03-04 08:00:00
12,2016,3,4,2,30.8,1.0,0,2016-03-04 09:00:00
13,2016,3,4,3,32.6,1.0,0,2016-03-04 10:00:00
14,2016,3,4,4,38.0,1.0,0,2016-03-04 11:00:00
15,2016,3,4,5,50.1,1.0,0,2016-03-04 12:00:00
16,2016,3,4,6,49.1,1.0,0,2016-03-04 13:00:00
17,2016,3,4,7,62.9,1.0,0,2016-03-04 14:00:00
18,2016,3,4,8,65.7,1.0,0,2016-03-04 15:00:00
19,2016,3,4,9,69.1,1.0,0,2016-03-04 16:00:00
20,2016,3,4,10,51.4,1.0,0,2016-03-04 17:00:00
21,2016,3,4,11,50.9,1.0,0,2016-03-04 18:00:00
22,2016,3,4,12,46.4,1.0,0,2016-03-04 19:00:00
23,2016,3,4,13,50.9,1.0,0,2016-03-04 20:00:00
24,2016,3,4,14,46.9,1.0,0,2016-03-04 21:00:00
25,2016,3,4,15,47.5,1.0,0,2016-03-04 22:00:00
26,2016,3,4,16,46.0,1.0,0,2016-03-04 23:00:00
27,2016,3,4,17,51.4,1.0,0,2016-03-05 00:00:00
28,2016,3,4,18,62.0,1.0,0,2016-03-05 01:00:00
29,2016,3,4,19,74.5,1.0,0,2016-03-05 02:00:00
30,2016,3,4,20,74.6,1.0,0,2016-03-05 03:00:00
31,2016,3,4,21,74.6,1.0,0,2016-03-05 04:00:00
32,2016,3,4,22,74.4,1.0,0,2016-03-05 05:00:00
33,2016,3,4,23,74.3,1.0,0,2016-03-05 06:00:00
34,2016,3,5,0,74.2,1.0,0,2016-03-05 07:00:00
35,2016,3,5,1,74.2,1.0,0,2016-03-05 08:00:00
36,2016,3,5,2,74.2,1.0,0,2016-03-05 09:00:00
37,2016,3,5,3,74.2,1.0,0,2016-03-05 10:00:00
38,2016,3,5,4,74.2,1.0,0,2016-03-05 11:00:00
39,2016,3,5,5,74.3,1.0,0,2016-03-05 12:00:00
40,2016,3,5,6,74.4,1.0,0,2016-03-05 13:00:00
41,2016,3,5,7,74.4,1.0,0,2016-03-05 14:00:00
42,2016,3,5,8,74.4,1.0,0,2016-03-05 15:00:00
43,2016,3,5,9,74.3,1.0,0,2016-03-05 16:00:00
44,2016,3,5,10,74.3,1.0,0,2016-03-05 17:00:00
45,2016,3,5,11,74.3,1.0,0,2016-03-05 18:00:00
46,2016,3,5,12,74.3,1.0,0,2016-03-05 19:00:00
47,2016,3,5,13,74.2,1.0,0,2016-03-05 20:00:00
48,2016,3,5,14,74.2,1.0,0,2016-03-05 21:00:00
49,2016,3,5,15,74.2,1.0,0,2016-03-05 22:00:00
