,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,35.8,1.0,0,2016-03-03 15:00:00,90,10,16.4467,102.833,31.2,16.4467,102.833
1,1,2016,3,3,9,35.8,1.0,0,2016-03-03 16:00:00,80,6,16.4467,102.833,33.0,16.4467,102.833
2,2,2016,3,3,10,36.0,1.0,0,2016-03-03 17:00:00,80,6,16.4467,102.833,33.0,16.4467,102.833
3,3,2016,3,3,11,35.9,1.0,0,2016-03-03 18:00:00,80,6,16.4467,102.833,33.0,16.4467,102.833
4,4,2016,3,3,17,48.7,1.0,0,2016-03-04 00:00:00,130,8,16.4467,102.833,26.7,16.4467,102.833
5,5,2016,3,3,19,77.0,1.0,0,2016-03-04 02:00:00,150,10,16.4467,102.833,25.8,16.4467,102.833
6,6,2016,3,3,20,55.7,1.0,0,2016-03-04 03:00:00,150,10,16.4467,102.833,25.8,16.4467,102.833
7,7,2016,3,3,21,47.5,1.0,0,2016-03-04 04:00:00,190,11,16.4467,102.833,23.1,16.4467,102.833
8,8,2016,3,3,22,36.6,1.0,0,2016-03-04 05:00:00,190,11,16.4467,102.833,23.1,16.4467,102.833
9,9,2016,3,3,23,35.3,1.0,0,2016-03-04 06:00:00,190,11,16.4467,102.833,23.1,16.4467,102.833
10,10,2016,3,4,0,34.0,1.0,0,2016-03-04 07:00:00,195,12,16.4467,102.833,22.6,16.4467,102.833
11,11,2016,3,4,1,31.9,1.0,0,2016-03-04 08:00:00,195,12,16.4467,102.833,22.6,16.4467,102.833
12,12,2016,3,4,2,30.8,1.0,0,2016-03-04 09:00:00,195,12,16.4467,102.833,22.6,16.4467,102.833
13,13,2016,3,4,3,32.6,1.0,0,2016-03-04 10:00:00,215,12,16.4467,102.833,29.5,16.4467,102.833
14,14,2016,3,4,4,38.0,1.0,0,2016-03-04 11:00:00,215,12,16.4467,102.833,29.5,16.4467,102.833
15,15,2016,3,4,5,50.1,1.0,0,2016-03-04 12:00:00,215,12,16.4467,102.833,29.5,16.4467,102.833
16,16,2016,3,4,6,49.1,1.0,0,2016-03-04 13:00:00,195,8,16.4467,102.833,33.4,16.4467,102.833
17,17,2016,3,4,7,62.9,1.0,0,2016-03-04 14:00:00,195,8,16.4467,102.833,33.4,16.4467,102.833
18,18,2016,3,4,8,65.7,1.0,0,2016-03-04 15:00:00,195,8,16.4467,102.833,33.4,16.4467,102.833
19,19,2016,3,4,9,69.1,1.0,0,2016-03-04 16:00:00,215,6,16.4467,102.833,34.9,16.4467,102.833
20,20,2016,3,4,10,51.4,1.0,0,2016-03-04 17:00:00,215,6,16.4467,102.833,34.9,16.4467,102.833
21,21,2016,3,4,11,50.9,1.0,0,2016-03-04 18:00:00,215,6,16.4467,102.833,34.9,16.4467,102.833
22,22,2016,3,4,12,46.4,1.0,0,2016-03-04 19:00:00,185,8,16.4467,102.833,30.6,16.4467,102.833
23,23,2016,3,4,13,50.9,1.0,0,2016-03-04 20:00:00,185,8,16.4467,102.833,30.6,16.4467,102.833
24,24,2016,3,4,14,46.9,1.0,0,2016-03-04 21:00:00,185,8,16.4467,102.833,30.6,16.4467,102.833
25,25,2016,3,4,15,47.5,1.0,0,2016-03-04 22:00:00,185,15,16.4467,102.833,29.6,16.4467,102.833
26,26,2016,3,4,16,46.0,1.0,0,2016-03-04 23:00:00,185,15,16.4467,102.833,29.6,16.4467,102.833
27,27,2016,3,4,17,51.4,1.0,0,2016-03-05 00:00:00,185,15,16.4467,102.833,29.6,16.4467,102.833
28,28,2016,3,4,18,62.0,1.0,0,2016-03-05 01:00:00,195,14,16.4467,102.833,28.1,16.4467,102.833
29,29,2016,3,4,19,74.5,1.0,0,2016-03-05 02:00:00,195,14,16.4467,102.833,28.1,16.4467,102.833
30,30,2016,3,4,20,74.6,1.0,0,2016-03-05 03:00:00,195,14,16.4467,102.833,28.1,16.4467,102.833
31,31,2016,3,4,21,74.6,1.0,0,2016-03-05 04:00:00,175,16,16.4467,102.833,26.3,16.4467,102.833
32,32,2016,3,4,22,74.4,1.0,0,2016-03-05 05:00:00,175,16,16.4467,102.833,26.3,16.4467,102.833
33,33,2016,3,4,23,74.3,1.0,0,2016-03-05 06:00:00,175,16,16.4467,102.833,26.3,16.4467,102.833
34,34,2016,3,5,0,74.2,1.0,0,2016-03-05 07:00:00,170,28,16.4467,102.833,26.7,16.4467,102.833
35,35,2016,3,5,1,74.2,1.0,0,2016-03-05 08:00:00,170,28,16.4467,102.833,26.7,16.4467,102.833
36,36,2016,3,5,2,74.2,1.0,0,2016-03-05 09:00:00,170,28,16.4467,102.833,26.7,16.4467,102.833
37,37,2016,3,5,3,74.2,1.0,0,2016-03-05 10:00:00,180,23,16.4467,102.833,32.9,16.4467,102.833
38,38,2016,3,5,4,74.2,1.0,0,2016-03-05 11:00:00,180,23,16.4467,102.833,32.9,16.4467,102.833
39,39,2016,3,5,5,74.3,1.0,0,2016-03-05 12:00:00,180,23,16.4467,102.833,32.9,16.4467,102.833
40,40,2016,3,5,6,74.4,1.0,0,2016-03-05 13:00:00,205,13,16.4467,102.833,35.1,16.4467,102.833
41,41,2016,3,5,7,74.4,1.0,0,2016-03-05 14:00:00,205,13,16.4467,102.833,35.1,16.4467,102.833
42,42,2016,3,5,8,74.4,1.0,0,2016-03-05 15:00:00,205,13,16.4467,102.833,35.1,16.4467,102.833
43,43,2016,3,5,9,74.3,1.0,0,2016-03-05 16:00:00,215,10,16.4467,102.833,36.0,16.4467,102.833
44,44,2016,3,5,10,74.3,1.0,0,2016-03-05 17:00:00,215,10,16.4467,102.833,36.0,16.4467,102.833
45,45,2016,3,5,11,74.3,1.0,0,2016-03-05 18:00:00,215,10,16.4467,102.833,36.0,16.4467,102.833
46,46,2016,3,5,12,74.3,1.0,0,2016-03-05 19:00:00,200,11,16.4467,102.833,32.6,16.4467,102.833
47,47,2016,3,5,13,74.2,1.0,0,2016-03-05 20:00:00,200,11,16.4467,102.833,32.6,16.4467,102.833
48,48,2016,3,5,14,74.2,1.0,0,2016-03-05 21:00:00,200,11,16.4467,102.833,32.6,16.4467,102.833
49,49,2016,3,5,15,74.2,1.0,0,2016-03-05 22:00:00,220,11,16.4467,102.833,30.5,16.4467,102.833
50,50,2016,3,5,16,74.2,1.0,0,2016-03-05 23:00:00,220,11,16.4467,102.833,30.5,16.4467,102.833
51,51,2016,3,5,17,73.3,1.0,0,2016-03-06 00:00:00,220,11,16.4467,102.833,30.5,16.4467,102.833
52,52,2016,3,5,19,67.0,1.0,0,2016-03-06 02:00:00,245,4,16.4467,102.833,28.5,16.4467,102.833
53,53,2016,3,5,20,69.7,1.0,0,2016-03-06 03:00:00,245,4,16.4467,102.833,28.5,16.4467,102.833
54,54,2016,3,5,21,64.4,1.0,0,2016-03-06 04:00:00,175,7,16.4467,102.833,27.3,16.4467,102.833
55,55,2016,3,5,22,61.5,1.0,0,2016-03-06 05:00:00,175,7,16.4467,102.833,27.3,16.4467,102.833
56,56,2016,3,5,23,54.7,1.0,0,2016-03-06 06:00:00,175,7,16.4467,102.833,27.3,16.4467,102.833
57,57,2016,3,6,0,51.5,1.0,0,2016-03-06 07:00:00,165,12,16.4467,102.833,27.5,16.4467,102.833
58,58,2016,3,6,1,52.2,1.0,0,2016-03-06 08:00:00,165,12,16.4467,102.833,27.5,16.4467,102.833
59,59,2016,3,6,2,53.1,1.0,0,2016-03-06 09:00:00,165,12,16.4467,102.833,27.5,16.4467,102.833
60,60,2016,3,6,3,52.3,1.0,0,2016-03-06 10:00:00,175,16,16.4467,102.833,32.1,16.4467,102.833
61,61,2016,3,6,4,52.8,1.0,0,2016-03-06 11:00:00,175,16,16.4467,102.833,32.1,16.4467,102.833
62,62,2016,3,6,5,54.9,1.0,0,2016-03-06 12:00:00,175,16,16.4467,102.833,32.1,16.4467,102.833
63,63,2016,3,6,6,64.2,1.0,0,2016-03-06 13:00:00,170,12,16.4467,102.833,35.2,16.4467,102.833
64,64,2016,3,6,7,64.2,1.0,0,2016-03-06 14:00:00,170,12,16.4467,102.833,35.2,16.4467,102.833
65,65,2016,3,6,8,57.9,1.0,0,2016-03-06 15:00:00,170,12,16.4467,102.833,35.2,16.4467,102.833
66,66,2016,3,6,9,54.0,1.0,0,2016-03-06 16:00:00,185,10,16.4467,102.833,35.4,16.4467,102.833
67,67,2016,3,6,10,52.3,1.0,0,2016-03-06 17:00:00,185,10,16.4467,102.833,35.4,16.4467,102.833
68,68,2016,3,6,11,41.9,1.0,0,2016-03-06 18:00:00,185,10,16.4467,102.833,35.4,16.4467,102.833
69,69,2016,3,6,12,41.2,1.0,0,2016-03-06 19:00:00,185,12,16.4467,102.833,32.6,16.4467,102.833
70,70,2016,3,6,13,43.8,1.0,0,2016-03-06 20:00:00,185,12,16.4467,102.833,32.6,16.4467,102.833
71,71,2016,3,6,14,41.8,1.0,0,2016-03-06 21:00:00,185,12,16.4467,102.833,32.6,16.4467,102.833
72,72,2016,3,6,15,45.2,1.0,0,2016-03-06 22:00:00,205,13,16.4467,102.833,31.2,16.4467,102.833
73,73,2016,3,6,16,47.3,1.0,0,2016-03-06 23:00:00,205,13,16.4467,102.833,31.2,16.4467,102.833
74,74,2016,3,6,17,46.6,1.0,0,2016-03-07 00:00:00,205,13,16.4467,102.833,31.2,16.4467,102.833
75,75,2016,3,6,18,58.7,1.0,0,2016-03-07 01:00:00,230,11,16.4467,102.833,29.6,16.4467,102.833
76,76,2016,3,6,19,70.4,1.0,0,2016-03-07 02:00:00,230,11,16.4467,102.833,29.6,16.4467,102.833
77,77,2016,3,6,20,58.7,1.0,0,2016-03-07 03:00:00,230,11,16.4467,102.833,29.6,16.4467,102.833
78,78,2016,3,6,21,53.3,1.0,0,2016-03-07 04:00:00,230,7,16.4467,102.833,27.8,16.4467,102.833
79,79,2016,3,6,22,48.2,1.0,0,2016-03-07 05:00:00,230,7,16.4467,102.833,27.8,16.4467,102.833
80,80,2016,3,7,0,43.9,1.0,0,2016-03-07 07:00:00,280,11,16.4467,102.833,28.5,16.4467,102.833
81,81,2016,3,7,1,41.9,1.0,0,2016-03-07 08:00:00,280,11,16.4467,102.833,28.5,16.4467,102.833
82,82,2016,3,7,2,45.9,1.0,0,2016-03-07 09:00:00,280,11,16.4467,102.833,28.5,16.4467,102.833
83,83,2016,3,7,3,48.1,1.0,0,2016-03-07 10:00:00,265,12,16.4467,102.833,34.1,16.4467,102.833
84,84,2016,3,7,4,43.6,1.0,0,2016-03-07 11:00:00,265,12,16.4467,102.833,34.1,16.4467,102.833
85,85,2016,3,7,5,44.8,1.0,0,2016-03-07 12:00:00,265,12,16.4467,102.833,34.1,16.4467,102.833
86,86,2016,3,7,6,57.2,1.0,0,2016-03-07 13:00:00,250,10,16.4467,102.833,35.9,16.4467,102.833
87,87,2016,3,7,7,63.7,1.0,0,2016-03-07 14:00:00,250,10,16.4467,102.833,35.9,16.4467,102.833
88,88,2016,3,7,8,58.5,1.0,0,2016-03-07 15:00:00,250,10,16.4467,102.833,35.9,16.4467,102.833
89,89,2016,3,7,9,55.3,1.0,0,2016-03-07 16:00:00,225,13,16.4467,102.833,35.9,16.4467,102.833
90,90,2016,3,7,10,53.3,1.0,0,2016-03-07 17:00:00,225,13,16.4467,102.833,35.9,16.4467,102.833
