,Unnamed: 0,Year,Month,Day,UTC Hour,PM2.5,PM10_mask,Retrospective,datetime,WindDir,Wind Speed(km/h),lat_x,long_x,Temp(C),lat_y,long_y
0,0,2016,3,3,8,31.2,1.0,0,2016-03-03 15:00:00,90,32,7.1988,100.5951,30.3,7.1988,100.5951
1,1,2016,3,3,9,31.2,1.0,0,2016-03-03 16:00:00,95,31,7.1988,100.5951,29.3,7.1988,100.5951
2,2,2016,3,3,10,31.2,1.0,0,2016-03-03 17:00:00,95,31,7.1988,100.5951,29.3,7.1988,100.5951
3,3,2016,3,3,11,31.2,1.0,0,2016-03-03 18:00:00,95,31,7.1988,100.5951,29.3,7.1988,100.5951
4,4,2016,3,3,12,24.5,1.0,0,2016-03-03 19:00:00,85,29,7.1988,100.5951,26.7,7.1988,100.5951
5,5,2016,3,3,13,26.3,1.0,0,2016-03-03 20:00:00,85,29,7.1988,100.5951,26.7,7.1988,100.5951
6,6,2016,3,3,14,22.9,1.0,0,2016-03-03 21:00:00,85,29,7.1988,100.5951,26.7,7.1988,100.5951
7,7,2016,3,3,15,22.2,1.0,0,2016-03-03 22:00:00,105,29,7.1988,100.5951,26.1,7.1988,100.5951
8,8,2016,3,3,16,23.9,1.0,0,2016-03-03 23:00:00,105,29,7.1988,100.5951,26.1,7.1988,100.5951
9,9,2016,3,3,17,22.5,1.0,0,2016-03-04 00:00:00,105,29,7.1988,100.5951,26.1,7.1988,100.5951
10,10,2016,3,3,19,28.4,1.0,0,2016-03-04 02:00:00,85,30,7.1988,100.5951,25.2,7.1988,100.5951
11,11,2016,3,3,20,25.7,1.0,0,2016-03-04 03:00:00,85,30,7.1988,100.5951,25.2,7.1988,100.5951
12,12,2016,3,3,21,25.0,1.0,0,2016-03-04 04:00:00,90,31,7.1988,100.5951,24.6,7.1988,100.5951
13,13,2016,3,3,22,23.4,1.0,0,2016-03-04 05:00:00,90,31,7.1988,100.5951,24.6,7.1988,100.5951
14,14,2016,3,3,23,23.0,1.0,0,2016-03-04 06:00:00,90,31,7.1988,100.5951,24.6,7.1988,100.5951
15,15,2016,3,4,0,23.6,1.0,0,2016-03-04 07:00:00,95,28,7.1988,100.5951,25.4,7.1988,100.5951
16,16,2016,3,4,1,22.1,1.0,0,2016-03-04 08:00:00,95,28,7.1988,100.5951,25.4,7.1988,100.5951
17,17,2016,3,4,2,22.2,1.0,0,2016-03-04 09:00:00,95,28,7.1988,100.5951,25.4,7.1988,100.5951
18,18,2016,3,4,3,23.7,1.0,0,2016-03-04 10:00:00,95,28,7.1988,100.5951,28.8,7.1988,100.5951
19,19,2016,3,4,4,24.1,1.0,0,2016-03-04 11:00:00,95,28,7.1988,100.5951,28.8,7.1988,100.5951
20,20,2016,3,4,5,23.9,1.0,0,2016-03-04 12:00:00,95,28,7.1988,100.5951,28.8,7.1988,100.5951
21,21,2016,3,4,6,24.9,1.0,0,2016-03-04 13:00:00,100,20,7.1988,100.5951,30.6,7.1988,100.5951
22,22,2016,3,4,7,25.4,1.0,0,2016-03-04 14:00:00,100,20,7.1988,100.5951,30.6,7.1988,100.5951
23,23,2016,3,4,8,27.0,1.0,0,2016-03-04 15:00:00,100,20,7.1988,100.5951,30.6,7.1988,100.5951
24,24,2016,3,4,9,23.3,1.0,0,2016-03-04 16:00:00,110,16,7.1988,100.5951,29.2,7.1988,100.5951
25,25,2016,3,4,10,21.1,1.0,0,2016-03-04 17:00:00,110,16,7.1988,100.5951,29.2,7.1988,100.5951
26,26,2016,3,4,11,20.6,1.0,0,2016-03-04 18:00:00,110,16,7.1988,100.5951,29.2,7.1988,100.5951
27,27,2016,3,4,12,22.7,1.0,0,2016-03-04 19:00:00,100,15,7.1988,100.5951,26.9,7.1988,100.5951
28,28,2016,3,4,13,22.5,1.0,0,2016-03-04 20:00:00,100,15,7.1988,100.5951,26.9,7.1988,100.5951
29,29,2016,3,4,14,21.3,1.0,0,2016-03-04 21:00:00,100,15,7.1988,100.5951,26.9,7.1988,100.5951
30,30,2016,3,4,15,17.6,1.0,0,2016-03-04 22:00:00,100,23,7.1988,100.5951,26.3,7.1988,100.5951
31,31,2016,3,4,16,22.1,1.0,0,2016-03-04 23:00:00,100,23,7.1988,100.5951,26.3,7.1988,100.5951
32,32,2016,3,4,17,20.6,1.0,0,2016-03-05 00:00:00,100,23,7.1988,100.5951,26.3,7.1988,100.5951
33,33,2016,3,4,18,24.2,1.0,0,2016-03-05 01:00:00,100,23,7.1988,100.5951,25.6,7.1988,100.5951
34,34,2016,3,4,19,32.3,1.0,0,2016-03-05 02:00:00,100,23,7.1988,100.5951,25.6,7.1988,100.5951
35,35,2016,3,4,20,32.3,1.0,0,2016-03-05 03:00:00,100,23,7.1988,100.5951,25.6,7.1988,100.5951
36,36,2016,3,4,21,32.3,1.0,0,2016-03-05 04:00:00,100,24,7.1988,100.5951,25.2,7.1988,100.5951
37,37,2016,3,4,22,32.2,1.0,0,2016-03-05 05:00:00,100,24,7.1988,100.5951,25.2,7.1988,100.5951
38,38,2016,3,4,23,32.1,1.0,0,2016-03-05 06:00:00,100,24,7.1988,100.5951,25.2,7.1988,100.5951
39,39,2016,3,5,0,32.1,1.0,0,2016-03-05 07:00:00,90,22,7.1988,100.5951,26.2,7.1988,100.5951
40,40,2016,3,5,1,32.1,1.0,0,2016-03-05 08:00:00,90,22,7.1988,100.5951,26.2,7.1988,100.5951
41,41,2016,3,5,2,32.1,1.0,0,2016-03-05 09:00:00,90,22,7.1988,100.5951,26.2,7.1988,100.5951
